text,label,rating,source,restaurant,location
Food serve fast & affordable but only lack packing space,positive,4.0,google,The Mandarin Restaurant,Kuching
"The service attitude is not good, the wrong dishes are always served, and there are always people who are late",negative,1.0,google,Mamee Jonker House,Melaka
"This the fourth time I've eaten here.First two times, they ran out of most appetizers. I wanted to order tacos. On",negative,2.0,google,Hidden Langkawi,Langkawi
Had the coffee and pork chop. Overall this place is overrated. Not worth the queue. Even the swiss roll was nothing to shout about,neutral,3.0,google,Yut Kee Restaurant,KL
Price a bit expensive if compare with other dim sum shop,negative,2.0,google,Tasixi Hong Kong Dim Sum,JB
"Pros: Great ambience, easy parking, decent tomyam and kangkung.Cons: BBQ platter we ordered is very dry and disappointing even though BBQ Thai",neutral,3.0,google,BBQ Thai (OKR) Sdn Bhd,Petaling Jaya
"The food is not all that great,fish sucks not recommended eating the devil fish and it's pretty expensive",neutral,3.0,google,Aliyaa,KL
"Bla Bla Bla has beautiful decor and decoration and friendly staff. However food took a very long time to arrive - around 45 minutes. Signature dish Pandan Chicken was raw. Waiter offered us a replacement dish apologetically and recommended the Mango Duck, which was delicious. We were disappointed when the bill arrived to see that the duck was twice the price of the Pandan Chicken and we were charged for this replacement dish.",negative,2.0,tripadvisor,Bla Bla Bla,Kuching
"Fabulous Mandi rice, nice smell of kebab, delicious mixed grill,  lucrative lasagna lamb are great features of this restaurant. I like this restaurant.  Nice interior decoration. I like to sit on lucrative couch here.",positive,5.0,tripadvisor,Arabella Restaurant,KL
Decor is fine but food wasn't as good as expected !,negative,2.0,google,Nijyumaru Japanese Restaurant (Sutera Utama),JB
Good food ... good ambience ... owner is on the floor and very nice to talk to.... happy to take feedback and give suggestions on what they do well.Nice place.... should visit.,positive,4.0,google,Bombay Palace,KL
The service was great & fast! Strongly recommending the salted egg yolk squid. This place is rather filled with tourists.,positive,4.0,tripadvisor,Wonderland Food Store,Langkawi
Good,neutral,3.0,google,Gui Yuan Restaurant,JB
Good place for Japanese food and Beer,positive,5.0,google,Hayashi Japanese Restaurant 林日式料理,JB
"When it's a beef patty on toast!We were really looking forward to burgers after our trek through Bako and after stuffing ourselves with a starter of bruschetta and crostini, we had high hopes for the burger.Sadly, they were very disappointing, not burger-like at all, just a beef patty on toast topped with cheesy mushrooms. It was tasty but not what was expected.",neutral,3.0,tripadvisor,Magna Carta Cafe,Kuching
Food very oily with lard being used for everything..Even steam fish has lard ...Kind of disappointed with the dishes... Environment is not cosy but expected,negative,2.0,google,Wang Chiew Seafood Restaurant,Langkawi
"This is a cosy western-local themed restaurant.the normal fried chicken chop is very crunchy and tender. Remember to the order the black pepper mutton too.the yong chow fried rice is very nice.recommended for dinners, although finding a",positive,5.0,google,It Roo Cafe,JB
"Taste not bad, but cannot add rice. Price if rice is on menu but we are not allowed to order just rice. What's the point of coming here if you don't allow me to eat until I'm full? Would give zero stars if able.",negative,1.0,google,Ee Ji Ban Chicken Rice Ball,Melaka
"Since the menu has been drastically changed, it no longer ranks amongst my favorites. Many of the good items on the menu are no longer there, and those items now on the menu are common and nothing special. Different chef maybe, but probably good for some. It is now bigger, so probably better for hosting functions unlike before.",neutral,3.0,tripadvisor,Bla Bla Bla,Kuching
"Rats were spotted near the cashier area running into the kitchen,when informed waiter he did not even care and just walked away.",negative,1.0,google,The Spice Kitchen,JB
Great place for nice western food and alcoholic beverages,positive,4.0,google,Vin's Restaurant,Petaling Jaya
Finally reached chat masala at brickfield the other corner after shopping.Tea and coffee can try but need wait quit long for waiter. Sometime waiter not realy attention to us to ask for our order. Not piecefull environment for family. Some food not realy taste as we tried before.,neutral,3.0,tripadvisor,Chat Masala,KL
Nice. Food is OK but a bit pricely.,positive,4.0,google,Nam Heong Chicken Rice,KL
"Don't wait, wait for half an hour",negative,1.0,google,Village Roast Duck @ Sunway Pyramid,Petaling Jaya
"To start with, they served me bourbon in a glencairn! A waiter was trying to serve me with his headphones in, so couldn't hear me! And the staff meeting was held when they were open so couldn't get served as they were all busy cheering.",neutral,3.0,google,The Whisky Bar KL 威士金酒吧,KL
So-so experience. It was weekend so they only serve buffet at lunch. Ok only. Can get better at other Banana Leaf restaurants. I've had few that are tons better in terms of food.,neutral,3.0,google,The Banana Leaf Kitchen,JB
"Morning Food small plates, suitable for lady not for me, I have to other dua Plate only can fill up my stomach 😂😂😂",neutral,3.0,google,Mount Austin One Two Eat Cafe,JB
Pleasant ambience and nice place to dine. The cucur udang was a nice start. The lamb briyani and bamiah were mild compared to that in Singapore. Sago with gula Melaka was a good ending to the meal. A bit pricey. Be prepared for a steep,neutral,3.0,google,Jawi House Cafe Gallery,Penang
"Nice environment, reasonable food, and attentive service...but...There were no nibbles of any sort available at the (pleasant) upstairs bar with drinks.The garlic prawns were tasty with a rich creamy sauce, but came with only 3 wafer thin slices of baguette to mop up the sauce. We got more when we asked, but why ration bread in such an expensive restaurant?Pomfret with tandoori was an interesting concept. Fish was well cooked but not sure in the end if we were eating tandoori sauce or tom yum sauce.Veges were fresh and not overcoked.The CRAB??? Everyone says to have the crab. Credit to chef for a different take on chilli crab, and it was nice enough, but again not something that I would return for. Chilli was pretty bland. Try it once if you have to.We objected to the continual sell - eg the waiter was insistent we have the most expensive wine on the menu, which happened to be a big Australian red, and not appropriate for seafood. We opted for the NZ Pinot Gris was fine. We were also told we needed to order a larger crab, more dishes, etc etc. Then there was the push by several of the staff to ensure we gave them a good TA review. As for the manager lighting up a cigarette beside us while we were still eating, then going off and leaving it smouldering in the ashtray? I don't think I will bother with this place again, which is a shame because it has potential.",neutral,3.0,tripadvisor,Pier 12 Seafood Tavern,KL
"Nice place, nice staff! But food was terrible...have a drink, don’t eat. Maybe dessert?!",neutral,3.0,google,Sid's Pub @ Jonker’s,Melaka
"When I am travelling I try stick to local food but every now and then we crave 'western' food. It was an average, generic burger and chicken tendons. It was quite expensive too, but I guess that's the Hard Rock price. If you are looking for an amazing burger go to the Baboon House.",neutral,3.0,tripadvisor,Hard Rock Cafe,Melaka
"Suitable for those who chill2 only,",neutral,3.0,google,Motowners Cafe,Kuching
"Anything other than the cakes are not worth it, it may look good but the foods are only rich in texture but not flavour. If you somehow decide to dine here, just stick to the cakes as the other meals are not up to par with the price tag placed. This meal already cost us RM184.",negative,2.0,google,Naj & Belle SS15 Courtyard,Petaling Jaya
The Social in Desa Parkcity is a pleasant restaurant with both indoor and outdoor seating a caters to some extent to the owners and freiends and families of all the dog owners who use the adjacent Dog Park particularly on Sundays and Sunday evening. Good menu and takes major credit cards.,neutral,3.0,tripadvisor,"The Social, Bangsar",KL
"I am sitting in the restaurant for 2hours 15mins ... and my main dish hasn't arrived. I asked when my dish will come, and the waiter shrugged his shoulders. I am perplexed. The worst slowest service ever. Unacceptable and a real spoiler.",negative,1.0,google,Gallo Nero Italian Restaurant,Langkawi
"First visit and i was very hapoy with the food, service and the place. I love the refurbished shop lot (maintaining the heritage) and the selection of restaurant around it. The food was good. The Pizza is one of the best in town (definitely",positive,5.0,google,Luce Osteria Contemporanea,KL
"I was surprised this cafe is still as good as it was when it started, it hasn't fallen apart from lack of maintenance as can happen so easily in Langkawi - very tidy and modern western inside, nice decor with matching tables and chairs and expensive fittings etc. and very clean and slick.The staff are very professional and very good and the menu is extensive with some good choices.This is a very nice place to go if you feel like a taste of home I guess - nice wines, nice atmosphere, good coffee and great food with good service.Recommend if you are tired of eating local food (which by the way is fantastic!)",positive,4.0,tripadvisor,Sun Cafe,Langkawi
Had wanton mee and chicken horfan.both were horrible wanton not cooked noodles overcooked.rude staff prices super high.highly NOT recommended.AVOID.,negative,1.0,tripadvisor,Restoran Dragon View,KL
"This restaurant is quite popular but unfortunately the staff is just unable to handle the crowd and they are panicking all the time. The food was good but maybe better to visit on a weekday. Try the jalebi which is made fresh, worth it. You can get both north and south Indian items here hence the unique name.",neutral,3.0,tripadvisor,Mr Naan & Mrs Idly,KL
Not that good. Expensive and set meals.lacks any kind of taste. Never going back again.  Sorry,negative,1.0,google,Woodlands Vegetarian Restaurant,Penang
average on food texture. was OK on rice menu. got flies flying around table.,neutral,3.0,google,The Spice Kitchen,JB
Their signature dish is definitely the Malaysian style nasi lemak. This is a chain restaurant and they are mostly found in the major shopping malls.,neutral,3.0,tripadvisor,Madam Kwan's Empire Shopping Gallery,Shah Alam
This is where you can get a halal chee cheong fun! I prefer to come by during weekdays as it will be too crowded in the weekends. Variety of stalls that you can choose from. Make sure to try the coffee as well. This place will always be on top of my list for breakfast.,positive,4.0,tripadvisor,Restoran New Hollywood,Ipoh
"Terrible experience. Food was okay but I found a fly in my water, waiter didn't even say sorry when replacing it. Okay food, terrible service.",negative,1.0,google,Spice Grill,JB
"I use to love this place when they first opened but it has definitely dropped in terms of food and service. Let's start with the interior, it has a nice ambience and it's nicely decorated.  Perhaps it's a good place to celebrate a special",neutral,3.0,google,"Favola , Le Méridien Kuala Lumpur",KL
"Went for brunch. Place so noisy like fish market. A good band performing (lady and man) but everybody is louder than them. Worse still, children running around them. Menu stated grilled sandwiches with sweet potato fries but ordinary fries",negative,1.0,google,Wonderboom,Kuching
Expensive place poor service food average,negative,2.0,google,Restoran Simpang Tiga,Ipoh
"rice ok , noodle not ok, beer quite nice",neutral,3.0,google,Mad Ramen Bar,Ipoh
White rice is too sticky like mashed rice. Tomyam is ok but too spicy although I asked less spicy.Nice mango sticky rice.Price is more than deserved.,negative,2.0,google,"Thai Thai, Sunway Pyramid",Petaling Jaya
Do not come here. I would have given a negative star rating but need need to rate a min of 1 star. Extremely small portion of chicken rice with extremely rude serving staff! The old aunte serving waitress got our food order wrong and when,negative,1.0,google,Nam Heong Chicken Rice,KL
"I ordered the set b menu Rm35. 80, the menu showed that it must be ordered for 2 people, the quantity came is very small, it is just that 1 person eats a small portion of 6-7 slices of pork, and I won’t eat it next",negative,1.0,google,田園粥火锅 Farmland Porridge Steamboat,JB
Ate delicious mee kolok ayam bakar and teh c special 👍,positive,4.0,google,My Village Barok,Kuching
"Overall, great local food servings and it will be good for travellers who wants to have a quick taste. The staffs are friendly and helpful. Really likes the ikan goreng cili garam, bendi and the ayam pongteh. The cendol is also good. It would be better if it is aircon because in the afternoon can be very hot",positive,4.0,tripadvisor,Bulldog,Melaka
"Top service, nice Korean broth, complimentary kimchi and ice-cream for two, super attentive staff.",positive,5.0,google,Haroo Korean Restaurant,Langkawi
"Great food, and very good service.",positive,4.0,google,GravyBaby Damansara Heights,Petaling Jaya
LocationIs near city centre and also too popular for tourist spot. But is a good thing to be near city centre and come even before 12pm to avoid been in the long,positive,4.0,google,Siam Road Charcoal Char Koay Teow,Penang
Chicken chop order was cold but waitress was friendly,neutral,3.0,google,King's Park,Miri
The food was good overall. For starters we had the octopus (nice small portion) and the mussels & clams. The steak two ways was very delicious. Must try the cheesecake. The place is not very big and the aircon was not sufficiently cold or well distributed. Service was very good.,positive,4.0,tripadvisor,Zenzero Restaurant & Wine Bar,KL
My msg is to BBQ nights management i being on your restaurant continuously last 3 days with my whole family around 17 person everyday around 400 because of the food is good we came there everyday but on sundy we have a very bad incident on your restaurant we came to your place we just left our food didn't no finished because of the guy he said im a supervisor have he is so rude to ask and also this dis respectable please noted i ask him give me some empty glasses for water what i abought at your place he did not give i asked him bread second time he give so late and then i again ask he said his coming then they supervisor coming again to my table our said the bread is w with 20 mints and he said very rudely why your order one by one is coming late we r very busy and later he argued with us in front of ladies when i come to the countr to complaind him what he did with us he still didn't apologize and talk with us so badly but the other person they are so good so many times come to my table may time i ask he ditnot argud such a good guy the apologized with us told ask to come again make for us special tea but still I never aver come back again to your restaurant business of that person I'm very shamful in front of my whole family and guests ..,negative,1.0,tripadvisor,BBQ NIGHTS,KL
"My husband and I dined here this evening. Not easy to find but from the moment we walked in we both loved it. Lighting which is often overlooked in restaurants was lovely, soft and ambient. We had some lovely cocktails to start followed by chicken skewers, very tasty. We were seated under a large fan and found it to be quite cold, our issue was dealt with immediately by the staff and the ceiling fan was turned down to low. I had the vegetarian pizza made with feta from Borneo,loved it. My husband had lamb mousakka which he enjoyed, he had cheesecake for dessert while I ordered the much acclaimed chilli chocolate mousse with vanilla ice cream. Due to the strong punchy flavours of the chilli this desert was very filling-about right for two people sharing with I would suggest an extra scoop of ice cream.I could only manage to finish half. The owner is very personable and chatted to us,even though there were two large parties dining there,including the French ambassadors party! The owner was not aware that I worked as a food critic for many years and I can honestly say this is the best food in Kuching,",positive,5.0,tripadvisor,Zinc Restaurant and Bar,Kuching
"One of the best places to have your nasi kandar fix. Opens from early morning up to mid afternoon, so many people come here for breakfast also. Come in the morning and the curries are steaming hot, freshly cooked. The fried chicken is a crowd favourite. But try the pompret fish curry as well.",positive,5.0,google,Nasi Kandar Merlin,Penang
Good place for Western Food and acceptable price,positive,4.0,google,Porkie's By Flavours,Kuching
"The food quality drop. They revise the menu which not much choices available. When I did reservation, they didn't inform air conditioner are spoil with just fan provided. Disappointed with this kind of service..",negative,2.0,google,Ploy,Petaling Jaya
Cheese baked rice very salty,negative,2.0,google,Bay Street 66,JB
"The kolok mee meat too small and the noodle taste weird, the soup tasted weird, bbq pork too chewy like not properly cook and the drinks was too much ice, few sips finished already...I would not recommend this place, It's not worth your while better go local cafe..",negative,1.0,google,Tasty Point (1),Miri
"I've patronised Jln Alor during my past 3 visits to KL and have always had great experience w the food there. This time round, the unit which I usually patronise is closed, hence I thought i should try other restaurants which should be ok. I went into the 3rd unit 鑫記, which displayed some pretty nice photos of food and some dishes which I was looking for. This has turned out to be my worst dinner, ever, in KL. I ordered 3 dishes: Vinegar Pork Trotter, Sambal Clams and Stir Fried Kailan. Vinegar pork: sticky, gluey, slimy sauce, totally no vinegar taste. Pork was cold, though the claypot was hot. It tasted terrible. Horrendous.Sambal Clams: clams were not fresh, all the clam meat dropped out from shell when they serve. They put in more lady's finger than clams in the dish. Speechless. Vegetable: veg was yellowish w lots of black spots. Took a closer look and found a lot of tiny black worms on vegetable!! We left the place with the food almost untouched. Guess how much was the damage? RM 59!!Pls dun patronise this stall! Hopefully, my regular stall will open tonight. I still miss the good food there.",negative,1.0,tripadvisor,Jalan Alor,KL
"Awesome lala. Although the wait is long, but totally worth it. Price is reasonable as well.",positive,5.0,google,Restoran Boston Baru,Shah Alam
No complain,positive,5.0,google,a'Roma dinings,Petaling Jaya
"Ordered sampler ribs. But all the ribs tasted the same, not different bbq sauces like it supposed to be",neutral,3.0,google,Tony Roma's,Petaling Jaya
"Fortunately, the environment is good and the attendants are very affectionate",negative,2.0,google,Hayashi Japanese Restaurant 林日式料理,JB
Food so so. Price expensive,neutral,3.0,google,Lilys Vegetarian Kitchen Sdn. Bhd.,Penang
Cheap & small portion dimsum served in this restaurant.Good to grab a bite here.,negative,2.0,google,Low Yong Moh Restaurant,Melaka
"I came here for both lunch and dinner on different occasions, honestly this place is overpriced. The pasta buffet is especially disappointing as they serve you a plate full of pastas with barely any quality ingredients on it (e.g. smoked",neutral,3.0,google,Secret Of Louisiana at the lake,Petaling Jaya
"Great place up the hill. Totally different fron the restaurants on the strip. Relaxed place, great staff, lovely food. Relatively expensive but worth every cent. Take care to check facebook page for opening dates.",positive,5.0,tripadvisor,Unkaizan,Langkawi
"Nice place,  yummy food.",positive,4.0,google,Vin's Restaurant,KL
Is just so so only!,negative,2.0,google,Tasixi Hong Kong Dim Sum,JB
"Good food, good place.. portion is big, make sure don't over order.. recommended food - daging salai and prawn sambal.. enjoy!",positive,5.0,google,Cili Kampung,Langkawi
good,positive,5.0,google,Korean Restaurant Goong,Kuching
"Refreshing white nutmeg juice and light, delicious laksa.. tastes like the sauce contains orange zest.

Would recommend if you're passing by",positive,4.0,tripadvisor,My Own Cafe,Penang
"A strong doubt where are there 4star above reviews are from?Hands down on the view is spectacular from Wet when weather is amazing clear,",negative,2.0,google,"WET® Deck, W Kuala Lumpur",KL
Okay,neutral,3.0,google,K Ten Claypot Chicken Rice,Ipoh
"We recently discovered this place, and has been a great find! Food is very tasty, has a bit of 'home-cooked' feel - not too oil or greasy. The waiters are very courteous and the service is very quick too. Really like this place, and will definitely visit again",positive,4.0,google,Kayra Authentic Kerala Cuisine @Bangsar Village,Petaling Jaya
Don't miss it,positive,5.0,google,Two Frenchies Cafe Bistro,Penang
Kuay Tiaw is nice and spaghetti with chicken chop is massive,positive,4.0,google,友谊饭店,Petaling Jaya
good to have family dinner..the service fast n good..n the food (seafood) was so marvellous,positive,4.0,google,Topspot Food Court,Kuching
"The waiters could have done a lot better. Esp since you're paying service charge. We had to ask them repeatedly about the menu and other things. Also, when the waiter offered to bring us ""some papadam and sauces"" it seemed like it was free.",negative,2.0,google,Aliyaa,KL
Normal food for a normal place,neutral,3.0,google,Lotus Cafe,Miri
