text,label,review_date
"All of the regular donuts have some kind of cream on the top layer. My friend said out loud she didn't like cream filled donuts and the guy didn't even tell us that was part of their recipe or something... so we ended up paying over $40 for donuts that we didn't eat. We even brought them back to my boyfriend who has a huge sweet tooth and he was disgusted but the texture. Also, they added so much salt to every single item we got , including the cookies. I ordered the gluten free and they were salty and very strange texture. The dark chocolate cookie was inedible it was so salty. I would never recommend this place to anyone.",negative,2022-01-17
SOME of the staff is just so incredibly rude and couldn't be bothered ): Please pay your staff well enough to make them not be SO rude and disrespectful to customers. It's awkward and ugly,negative,2022-01-14
"Sadly, I was really disappointed with my experience at Coffeebar this weekend. Still being relatively new to town, I've been searching highest rated ... fill in the blank, and trying to experience all Reno has to offer. Coffeebar popped up as very highly rated, so my boyfriend and I went there this weekend. First off, we showed up at 11, which was our mistake. If you're looking for assorted baked goods, definitely get there before 11 or you will be left to choose between a chocolate or plain croissant. I will say the plain croissant was pretty good though. We were somewhat bummed because my BF loves flavored coffees and I thought this place would definitely have them, but upon arrival we didn't see any listed and it was fairly busy, so we tried to keep it moving. I was also excited to try a lavender brown sugar latte I saw someone mention below, but didn't locate it on the menu, so I got my usual chai tea. Now, I love chai tea and I don't think I'm a snob. Before this weekend I had never met a chai tea latte I didn't like. Honestly, the Coffeebar chai tea latte was the worst I've ever had. I guess they were out of agave so they substituted vanilla, which was more than fine with me. The chai tasted like someone had made a very weak cup of chai tea, added half a shot of milk, and called it a day. No frothing, just unceremoniously dumped. It was super watery and there was absolutely no vanilla taste at all. For that matter, it was the furthest from a creamy latte I expected. My BF ordered plain coffee, but didn't find it to taste very good, so he actually made some coffee when we returned home instead. We also ordered 2 breakfast sandwiches which were pretty lackluster and ended up in the garbage. All in all it was a disappointing outing and I don't think we'll be back.",negative,2022-01-10
Outstanding!! Don delivered a Linzer torte that exceeded all expectations! I also got an assorted box of his delicious cookies that our guest gobbled up in no time. Could not have been happier. A wonderful bakery and terrific people hard to beat that combination.,positive,2022-01-19
"Got the legendairy free milkshake and waited for 45 min. The toppings were fine but the milkshake was TERRIBLE! it was flavorless, watery, and had a very weird consistency! very underwhelming and expensive! the inside of the location looks run down and the fluorescent lights will suck out your soul while you wait and wait and wait to get your shake. I don't usually dine at places just for food that looks pretty so overall we were very disappointed in the taste of the shake, the service, the price, and the atmosphere. we thought we would love legendairy but we will not be returning.",negative,2022-01-16
No vegan options. Super disappointed because one of my friends just went there a few days ago and they told her that her food was vegan. Went today to check it out and turns out someone lied to her. Not only is it dangerous (people have food allergies) it is also unethical to lie about what you are serving people.,negative,2022-01-14
"Came to Keke's for the first time to have brunch. We ordered our food and it took 50 minutes to receive our food. Every guest around us left, new guests ordered, and they got their food before us. I tried to order a coke and the machines were broken. The server gave us a range of excuses for why we were waiting almost an hour for our food. She said she might have forgotten to put the order in, that there were two parties and it was bad timing on our part, and the kitchen only had one pot to make our eggs benedict. Then they charged us full price with a discount or apology. Following all of this, they asked if we would be coming back again. 1/5 stars",negative,2022-01-10
"I've been eating here for the past 2 years and I'm DONE! 
I ordered tonight and spent $52. I ordered a couple of  dinner meals and a kids cheese quesadilla and I get home to open a quesadilla stuffed with salsa, so much so that the whole thing was soaked! GROSS! My son was starving and had to make him one at home. I live in Nampa so it's not like I could just drive back for being 25 minutes away. They also charged me NOT for a ""kids"" but for a regular one that is $10. This is NOT the only bad experience I've had at this location. About 6 months ago they charged me $9 over, i called  and asked for my money back, they said they would offer me a $15 gift card I told them that didn't work for me. I don't eat out that often I wasn't sure when I'll be back. The manager told me it would be credited back to my credit card and I also had to text them a picture of my receipt. NOTHING showed on my bank... I just gave up. I will no longer be give my hard earned money that I work for to this facility. Horrible, outrageous customer service.",negative,2022-01-11
"This has always been a neighborhood favorite but recently, during height of COVID wave, employees were not wearing masks. When asked if they would agree to mask, servers said ""no; we don't have any"" and claimed it was their choice whether to mask or not. I tried to call corporate General Manager to confirm Frost's policies, but never received a return phone call. This really concerns me considering the fact that Frost is a food service establishment and workers are in close contact with food and customers.",negative,2022-01-19
"The spring rolls were good, the pork baboons were good but that one piece of mini cucumber did not give the crunch factor. The pork chashu ramen was a lukewarm, tepid broth. I'm not sure what the red strands were in the broth but by golly they were bitter.  I asked for spicy chili oil on the side....$1.50 extra...I didn't know I paid extra until I looked at the receipt! It's not the money but the principle",negative,2022-01-09
"So the store is clearly open, Monday 1/10/21 at 1:30PM... my 5 year old and I walk in, immediately a woman walks up and for no real reason says very sternly ""we're not taking any orders right now, we're out of everything."" Even though you clearly see them preparing things in the back? There was nobody else in the store ordering, but you could see they've completed Uber eats orders. I'm not sure if she had just a rough day or that day or didn't feel like working",negative,2022-01-10
"Very interesting interior. We ordered a pink frosted sprinkle donut, a slice of peanut butter pie, and a toffee nut latte.

The donut was pretty good. My son enjoyed it. Not bad for $1.25.

I was excited about the pie, but I thought it would be soft and creamy. Unfortunately it was hard, like it needed to be thawed more. The flavor wasn't as peanut buttery as I hoped, either. It was kind of pricey at $8 per slice.

The coffee was generously portioned and pretty flavorful, although it was artificial tasting.

I'd say 3.5 stars overall.",positive,2022-01-16
I was looking forward to a pleasant evening of good food and drinks with my sisters. After the drinks come out. A man approached our table upset saying that there were mice in the dining room. Someone starting taking pictures of the mouse. Managers were trying to quiet the man. So on that note me and my sisters requested our food to go. In all my years I have never. They were perplexed as to why we didn't want to stay. I'm so disgusted. I may not even eat the food at all.. Awww! Do better hard rock!,negative,2022-01-09
I've ate here plenty of times but when did the food become so bland with NO flavor The onion rings tasted like nothing and had to add our own seasoning on them and my husbands burger was all soggy. My daughters corn dog tasted like it was just microwaved and her fries had no salt or anything with no flavor .,negative,2022-01-09
i'm actually so disappointed speaking of the fact wawa never lets me down. they didn't have chicken for my quesadilla or roasted veggies and they made me pay before they wanted to tell me they had nothing i wanted and wouldn't give me a refund. get it together.,negative,2022-01-16
"Really bad service. 
Waited forever to get any attention after being told to seat myself at any table. 
Had to remind the staff that I exist and would like to make an order. 
I ordered Omaha open faces tritip sandwich. I asked for medium had well done. It says it comes with salad - however there was no salad on my plate. My friend got a herbed chicken. They forgot sauces and chicken was way over cooked. 
Also, had to go and ask for silverware after food was served. 
Won't come back.",negative,2022-01-09
"Tonight at 11:30 the manager threatened to call the police on me because she refused to honor their apple pie deal.  The sign at the drive through still says that if they forget to ask you about MyMcDonalds Rewards, you get a free apple pie.  The young lady at the drive through didn't ask about the rewards program, so I asked for the apple pie.  The angry night manager yelled through the window to me, claiming that they had quit that deal a month ago, and that I could just sit in the drive through until she ""call da police, 'cuz he ain't getting' no apple pie.""  
If that's so, then why have they served me the free apple pie twice in just this last week when they've forgotten to ask me each time?  And why does their drive through sign still say they have that deal if they don't?
What a nasty, bitter manager lady.  I should patronize the Wendy's, Culver's, Chick-fil-a, or other places right up the street whether the management is more polite.",negative,2022-01-11
"Worst place in town.  Order on the app, show up at 930.  Closed.  They just shut down at any random hours.  When they are ""open"", expect 5o wait a min of 30 minutes if there's 2 or more cars in the drive through.  Oh yeah, they shut down walk in for over a year.  Update your hours people.  Stop wasting everybody's time.",negative,2022-01-16
"Delicious! Heard great things about this place, and we were not disappointed! The Breakfast Potatoes with the moray cheese sauce is a must-have!",positive,2022-01-09
"That's weird. How have I not reviewed this place. Did it disappear? Love all dining hours for this place. Brunch lunch dinner cafe martinis at the bar. Whatever you are craving the atmosphere has it. 
My favorite meals well besides everything is - trout almandine. Beef bourguignon. Steak frites. Beef tartar. Any raw fish crisp or what nots.  Cravings are snails and French onion soup!!",positive,2022-01-12
"This with no exaggeration was the worst restaurant experience I have ever had.  From start to finish!  The employees should not be working here and honestly should never be in hospitality.  We arrive at 7pm on 1/15/22 for a party of 8.  They told us it would be 45 minute wait.  We were ok because we knew it was busy because of a huge event at the convention this weekend.  After about an hour we went make to front desk and they said maybe another 10 minutes.  20 minutes later they said their kitchen was backed up and they were all going to take their breaks first...ok?  These girls were the most unprofessional workers ever.  Drinking, swearing and having an 'I don't care attitude'.  Finally it's about 8:30'and they said since their kitchen is backed up and we had kids with us they will not seat us!!!!  Talk about discrimination.  Our kids were starving and we waited over an hour and half!!!!  We would have left but everything else in the area was closing or booked that late.  We finally get the manager and she is the nicest person in the world.  Gets us a table and says will rush.  Server was nice and a sweatheart.  But it doesn't stop here.  10:15 all our food comes in a to go bag from the kitchen manager and said we had to leave because minors not allowed.  Both the server and manager of the location were in shock and they said they were embarrassed.  I just wanted to get the heck out of there.  I have never felt so disrespected in my entire life.  I get that it turns into a bar after 10 but they made my kids and family feel like absolute shit.  Manager was nice but needs to own it.  Her server was great and I still tipped her 25%.  The people at the front desk should not be in the service, hospitality business or anything that is client facing.  They were horrible and honestly the most unprofessional people I've seen.  Horrible and the WORST experience ever!   I hope everyone reads this and make sure they know what happens when you let crappy people be the face of your company!  Our kids ate dinner in a Uber car after waiting for 4 plus hours!  Shame on you!!!",negative,2022-01-16
"The food and portions are excellent. 

The dining area is the issue. Too small, too loud, too crowded. I wish these guys would expand but alas it has never happened and we stopped going. It was too much of a chore and no longer fun.",negative,2022-01-10
No attention to food allergies when addressed at the beginning of the meal.  Items delivered were not correct.  Service is very slow.  No care for danger they caused.  Will not be back.,negative,2022-01-15
"I've been a customer at the same
Location for over 20 years. (I think it has changed management more than once). The quality of there muffins has gone down so badly. Their Banana Nut was my absolute fave. It was the bomb. It tasted like my mom's homemade banana bread - super moist, tons of banana flavor, and plenty of nuts. I also use to enjoy the Carrot Cake muffin. It also tasted homemade. 
I've had both kinds of muffin recently and they were awful. So bad that my husband forgot I didn't like them anymore and he brought me one on Saturday and I refused to eat it. I just couldn't force myself to do it. 
Both flavor of muffin tasted weirdly the same. They tasted like the same batter/mix was used for both and they actually tasted like it could possibly be the same base they would use for a corn muffin. Both the carrot and banana muffins were dry and tasted almost exactly the same. Both had nuts and the carrot cake one had a weird glaze topping instead of the usual delightful cream cheese frosting. I don't know if the muffin mix comes from corporate like this awful concoction or if it's the franchisee cutting corners to save money, but either way both muffins are a horrible representation of this company. 

And one other note - the customer service has also gone downhill. I get that on the weekends, it's probably high school kids working that don't want to be there but a company needs to know who they put into positions as their representation of their company. The staff always acts completely put out by customers ordering food. They take no pride in their work. Again, this is just to let the owner know how their employees reflect on their business. Poorly, they reflect poorly....as do the muffins they make.",negative,2022-01-10
"Place sucks. Bouncer outside wishing he could someday be a cop but nothing more then a glorified mall cop enforcing a non existent dress code. Bouncer doesn't even know what cargo shorts are. Claims any male shorts that have back pockets for wallets are ""cargo shorts"". No one inside. Lame place for a Sunday night.",negative,2022-01-10
Tried to call ahead to order but they kept sending the phone to voicemail so we came in to order and they told us it would be 25 minutes which we said was fine. Well over an hour later we get our food I immediately check it and it is cold. I took it anyways not wanting to wait another hour and not only was it cold but fries weren't even cooked all the way through some were hard couldn't even bite into them. I understand being understaffed but be honest if it's an hour wait say it's an hour wait and if you can't even handle the orders you already have stop taking more to catch up on the people who have already paid. Staff did apologize but obviously weren't sorry enough because they never offered a refund or discount.,negative,2022-01-15
"Worst service ever. Cashier girl was nice but everyone else seemed mad and bothered. 
We left upset we just took our food to go not pleasant.",negative,2022-01-09
"Is someone pulling your leg?  Denny's is a step above Waffle House which isn't saying much. I Hop has gone downhill but a step or two above Denny's which is not saying much.

The only good place to get breakfast in Santa Barbara is Jeanine's.  

Best  in SBC is Ellen's Pancake House in Buellton about a 35 minute gorgeous ocean and scenic drive north up 101 just off the freeway.  

They are the best of the best in SBC.  Quality and amount of food is huge... prices fair.  Expect a line of people waiting to get a table or counter seat that are locals not tourists.  Prepare to go out for a walk or hike.  One doesn't go away hungry. Staff are fantastic and many have worked there for years.  Exceptional service. Unlike most breakfast lunch restaurants family owned and run onsite and cooks and servers that have worked there for decades.

Several of our favorites are chicken fried steak and eggs with thick apple cured bacon bits added to gravy with homemade biscuits and gravy, NY steak and eggs, thick ham steak and eggs, 3, 6 or 12 egg omelettes made any way one likes.  Never, ever forget the thin Danish pancakes that can be ordered with fruit.  They are truly a delicacy and come with powdered sugar dusting.  Just a little butter and real maple syrup is all they need.  If one wants them a tad sweeter the preserves they offer will put it over the top.  Prepare for a to go box.  Local ranchers and farmers eat here for breakfast starting at about 6am as they need a hearty breakfast to make it to lunch or dinner.",negative,2022-01-18
The Ronald McDonald house is kicking children out if they have UNvaccinated family members...they are involved in child rape,negative,2022-01-14
"I used to be a regular at blueprint Delmar, a daily patron and would even attend their special events excitedly. However, at one of their after hours coffee tasting events I was targeted and harassed by a worker who was sexist, believe it or not! 

I sat through the event with a woman friend of mine, and when I went to use the restroom, one of their workers who is also a woman decided to whisper to my friend that she should be wary of me as a person and that she didn't trust me. For some context I had had ZERO negative experiences here prior and had spent many many hours there enjoying time with both men and women friends... so for their worker to had the audacity to impose on my social circuit with their unwarranted suspicion was absolutely astounding to me.

My friend told me that this happened as soon as we left the event. She was very uncomfortable with the fact that the worker chose to say that and quickly reassured me that she didn't have any concerns about my integrity, thank goodness.

So at this point my heart is racing, like borderline anxiety attack, and I'm absolutely confused about why I was targeted and why this had happened after I had spent so much time there, even time ordering from and small talking with this exact worker! I decide to go back in in order to get some clarification and correct the situation, hoping to put my anxiety to rest and also offer some kind of reassurance of my integrity to the person who was suspicious of me.

I calmly walked up to her and said hey I'd like to speak for a second. She immediately dismissed me and said she did not want to talk to me. At this point I literally do start having an anxiety attack and my heart is racing very fast. I kept my tone very calm and maintained courtesy, but I also got very excited internally and said ""why would you say something like that to my friend when I went to the bathroom?!"" 

She gave me little to no response and just said 'she's seen me talk to women before' (?!) and that she didn't trust me basically. My jaw drops at hearing this because I am very courteous and respectful in all my relations and I anxiously asked her to clarify, but to no avail...

She expressed she felt she had done nothing wrong in saying this to my friend when I walked away. At this point I feel so hurt and so confused and betrayed- I leave shortly after a very short and fruitless exchange with the worker with my heart in my stomach and my anxiety flying sky high.

A few days later I spoke with 2 of the owners there and explained the situation to them and they had absolutely NOTHING to say nor any goal to rectify the situation!! They didn't seem to care in the least and even went so far as to say they were going to 'side with their worker' regardless of the situations specifics and they asked me to not come back while she works there!! At this point I'm offended beyond belief and astounded at the ridiculous judgment call of their owners.

I quit going to blueprint at this point, but the story doesn't entirely end here. Fast forward like a year, maybe 1.5 years, and I walk back in the same store attempting to see if we can clarify and make amends but I don't even get to that point as I can see as soon as I walk in that the same woman who mischievously whispered to my friend was behind the counter and had been promoted to manager! She noticed me immediately and said I wasn't welcome there! It was embarrassing and another big anxiety explosion for me... 

I was hoping the owners would have corrected this, and I even waited a year after the last altercation hoping that one of them would speak with me or offer some clarification since we lived in the same neighborhood and would cross paths now and then. But they've never said a word to me since...

The fact that their owners deemed this appropriate, and felt it was wise to promote this individual, and also felt that making amends with me on a human level wasn't necessary has left a horribly bad taste in my mouth regarding blueprint coffee and I encourage anyone who takes sexism seriously to quit supporting them.",negative,2022-01-19
Out of food and staff member with no customer service skills.   The girl behind the counter cooking at 9:15 am on 01/10/22 should not have any contact with customers.  The older lady working the cash register was embarrassed by this girls actions.  She basically told us to screw off and go to Starbucks.  Don't give this place your business.,negative,2022-01-10
"By far the worst experience I have ever had in a restaurant. When we got there it took over 20 min to get our coffees, the server was terrible. She never came around to refill drinks we always had to ask her for refills. Our food took over an hour to get out, the tables that came after us got their food before we did. The steak was trash, it tasted like a sponge. The manager had the audacity to comp a $1.25 off our meal...... I will never go back there. I have never in my life ever complained about a restaurant or the serve but this was beyond terrible. DO NOT GO HERE!!!!",negative,2022-01-09
